feature,importance
bb_pos,0.025390429106945462
volatility_20,0.021199900451397954
lower_wick,0.0191668585025699
volume,0.014433637642700097
macd_hist,0.014326193520886613
body,0.01235186923508203
close,0.010184775664651822
body_to_range,0.009728232704911938
sma_10,0.008930414270971538
log_return_1,0.0062101041643120355
close_over_sma_50,0.004884004884004879
volume_sma_20,0.00311700767263427
upper_wick,0.0030062073196243265
close_over_ema_12,0.0027739998660604504
close_over_sma_20,0.00234025234025233
ema_12,0.0015219421101774016
return_5,0.00018874379535301078
sma_50,0.0
bb_mid,0.0
bb_width,0.0
bb_lower,0.0
sma_20,0.0
ema_26,0.0
close_over_sma_10,0.0
tenkan,0.0
sma_100,0.0
macd,0.0
macd_signal,0.0
kijun,0.0
close_over_ema_26,0.0
senkoua,0.0
return_1,0.0
senkoub,0.0
rsi14,-0.0012218045112781962
body_abs,-0.001499664934010081
volume_over_sma_20,-0.00244200244200245
range,-0.003486547565494935
close_over_sma_100,-0.005545380545380551
bb_upper,-0.009879478107032292
volatility_10,-0.010524845113955374
