Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB,FFTPeriod
2025-12-17,87840.7,90318.3,85282.2,86207.8,3098.54777664,,,,,,
2025-12-18,86205.5,89437.1,84421.4,85462.5,3072.2876982,,,,,,
2025-12-19,85461.0,89335.0,85077.0,88105.2,2580.22787773,,,,,,
2025-12-20,88105.2,88513.3,87800.0,88338.1,589.89326073,,,,,,
2025-12-21,88338.1,89013.9,87601.8,88622.2,783.03583975,,,,,,
2025-12-22,88623.7,90552.6,87863.6,88544.2,2230.94698942,,,,,,
2025-12-23,88550.5,88888.8,86553.3,87416.4,1607.29163674,,,,,,
2025-12-24,87416.4,87973.3,86271.4,87613.7,1468.66888146,,,,,,
2025-12-25,87613.7,88547.9,86944.9,87198.0,574.28492676,,87487.0,,,,
2025-12-26,87183.0,89484.6,86611.7,87303.6,1634.02144466,,87487.0,,,,
2025-12-27,87303.6,87913.3,87177.5,87802.6,416.75063851,,87814.8,,,,
2025-12-28,87814.4,87998.9,87364.3,87853.3,659.23011207,,88412.0,,,,
2025-12-29,87865.9,90298.9,86700.0,87135.1,2800.12927258,,88412.0,,,,
2025-12-30,87135.1,89298.0,86736.5,88401.9,1179.54982826,,88412.0,,,,
2025-12-31,88400.1,89067.4,87101.5,87500.1,1496.3046063,32.53934484041383,88285.15,,,,
2026-01-01,87500.2,88779.3,87400.0,88731.8,1157.56340883,40.77770523840596,88285.15,,,,
2026-01-02,88730.0,90900.0,88273.3,89934.0,1901.8826812,47.514949830262275,88755.85,,,,
2026-01-03,89934.0,90677.5,89300.0,90590.1,1113.01038596,50.804244028375486,88755.85,,,,
2026-01-04,90590.1,91768.3,90590.0,91507.0,843.08377896,55.0444507375151,89234.15,,,,
2026-01-05,91507.0,94783.9,91489.5,93866.9,2070.65294098,63.71332777783646,90741.95,,,,
2026-01-06,93866.9,94401.8,91230.8,93711.8,1922.19143894,62.85545012185139,90741.95,,,,
2026-01-07,93711.8,93712.5,90591.9,91273.3,1459.64933288,51.18618570264981,90760.2,,,,
2026-01-08,91273.3,91584.7,89225.0,91029.1,1420.71893835,50.1814511469376,90942.7,,,,
2026-01-09,91029.1,91955.9,89603.4,90513.2,1421.7801819,48.036230146766485,91091.95,,,,
2026-01-10,90513.3,90699.7,90285.2,90375.2,321.48562471,47.45187025519733,91528.6,,,,
2026-01-11,90375.2,91132.3,90100.0,90849.8,530.87904628,49.717363916567635,92004.45,89602.65,,,
2026-01-12,90861.1,92364.1,89995.2,91190.9,2284.21126004,51.341067805992424,92004.45,89602.65,,,
2026-01-13,91191.0,96476.1,90938.2,95358.1,2717.43674662,65.84979739152976,92850.55,90776.55,,,
2026-01-14,95358.2,97899.7,94509.0,96933.3,3358.96494088,69.5462385380046,93562.35,92085.54999999999,,,
2026-01-15,96933.4,97151.1,95101.0,95607.6,1819.04794859,63.3330419391412,93562.35,92085.54999999999,,,
